Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
032e732134fe8c157be3c640f0ffc96ac10235b9,3d2a18e2f0614eb59b441c47bced80e810a54d8185e24c9c978b95af4d7534701b41f92eadda0307b1137b318554a109608d2ca9d63ddcf1cf2042a2a6b1fe61,11/28/2016 7:15,11/28/2016 7:30,840,3,,,,,$11.50 ,$2.00 ,$0.00 ,$0.00 ,$14.00 ,Credit Card,,,,,,,
0376405fb13086333e2e1ca605a1518dfbcb8612,d227267f2ecc06b906db9813671d5c14b2ca025df56515ac2b4b04392cd8c85131cbc127ed096ddb1a3390e8134e44a34c4ba6f5084bad5a54fd0dd653cb6888,11/26/2016 3:00,11/26/2016 3:00,120,0.36,,,,,$4.00 ,$2.00 ,$0.00 ,$1.00 ,$7.50 ,Credit Card,,,,,,,
03dce34b23daa09a00ad44eb858116dfb30213ca,3e0ecc411309f519aa2278ee885227cde56891acadc65275baecbbafa46cb1f51434d7228508ca43e7666b6285bd4e72b4fa68a15863646d10f7ba7260c769f0,11/29/2016 19:45,11/29/2016 19:45,0,0,,,,,$27.00 ,$0.00 ,$0.00 ,$0.00 ,$27.00 ,No Charge,Suburban Dispatch LLC,,,,,,
0486d7f527a5f1a87238c52e52a5a52743cfb39c,6ac56232b10298edfb36d568c8f7e71db5a741c2f31c81985b330d81204f52dd0464af1383eacefc4d2c9b7c0bf5e38c29e8433f3e6f5401f3783be477b0fcc6,11/24/2016 21:15,11/24/2016 21:15,540,2,,,,,$9.00 ,$1.00 ,$0.00 ,$0.00 ,$10.50 ,Credit Card,,,,,,,
00d19a89feb9a4d29936dd973f964ea6646c7da0,373a87b7084c01d24566ee3c5cfde562710dd94bd3cdfd6d4ae14f5ac8953867854af0a0ae691167f7f4f4b3fa0ba8513385c9de1e4c8ad377d941554746de31,11/27/2016 10:15,11/27/2016 10:15,0,20.8,,,76,,$50.50 ,$0.00 ,$0.00 ,$0.00 ,$50.50 ,Cash,,41.98026432,-87.9136246,POINT (-87.913625 41.980264),,,
0165d823bd2451fa409607e542afe48d6b4f916b,09f2758691d819fb34a956ed0b06101886deb51ce833dc85cef5f2c99bf74845544cc909c74edd05e91b8ec75f8b26be3c4ecd998b8dbf0485bc0a6d827d89ab,11/28/2016 0:15,11/28/2016 0:15,0,0,,,,,$51.50 ,$5.00 ,$0.00 ,$0.00 ,$56.50 ,Credit Card,Suburban Dispatch LLC,,,,,,
03ee2218c4fee67e3b4799f9399409ddb0d046db,1ec7f3414307d2d25d1a35fa094f8591797f6bc2f0b1c9f1545bd8bf0e16e0964d65cc941d074552d77735a55d31e138bc56d6405b35783fabdaa78511de423f,11/26/2016 0:30,11/26/2016 0:30,600,0.1,,,,,$10.75 ,$2.06 ,$0.00 ,$3.00 ,$15.81 ,Credit Card,Blue Ribbon Taxi Association Inc.,,,,,,
010731a2d6e1d5fbf1b5efec069f50f20e1d024f,034fdec38d28e27b9d3a6079d47d72bd24a393f1198bfb8f332ba9f86d07d0cdbb4624fe8e14007322feb2ce4288b2b074a4a6d7f3fcc3581e58276596fb2e0a,11/27/2016 21:15,11/27/2016 23:45,8609,13.09,,17031081700,,8,$33.75 ,$0.00 ,$0.00 ,$8.00 ,$42.25 ,Credit Card,,,,,41.89204214,-87.63186395,POINT (-87.631864 41.892042)
026ad75c3d4b13bffbbd58aad77cdaf0bd72bf89,7dd80633118de4a33357f864d8e36442278fca095d484021e38920104d519315f35599c265e95c1932cef429243d0c396c1f84dce9dee5773459aead5345a3e2,11/28/2016 1:00,11/28/2016 1:15,1320,13.3,,,,,$34.25 ,$0.00 ,$0.00 ,$5.00 ,$39.25 ,Cash,,,,,,,
026d684ca23f9b9c14038b11d1050c49839fc258,e39f9fb04c45fac83b35fbc9c36b68ba97cdf877dd76fd6a776827dd07af4ef7bff6a9d7c3863b34ad6f486e643ed00ec887d93d8d14849ab0d8ff366ce5aa9b,11/26/2016 11:30,11/26/2016 12:00,1440,12.1,,,,,$32.00 ,$0.00 ,$0.00 ,$1.00 ,$33.00 ,Cash,Choice Taxi Association,,,,,,
